video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"-BnK_7jGm3Y","20億円のヒカキン新居ハウスツアー！超巨大室内温水プール&庭付きの家","2023-08-01T10:00:13Z","UCZf__ehlCEBPop-_sldpBUQ","HikakinTV","24","23.02.08","ヒカキン|ヒカキンtv|hikakintv|hikakin|ひかきん|ひかきんtv|ユーチューバー|YouTube|YouTuber|動画|ビートボックス|Beatbox|ボイパ|ヒューマンビートボックス|ボイスパーカッション|レビュー|新居|家|豪邸|20億|20億円|一軒家|プール|庭|2023|ハウスツアー|ルームツアー|引越し|引っ越し|引越|自宅|マンション","5526857","192727","0","13722","https://i.ytimg.com/vi/-BnK_7jGm3Y/default.jpg","False","False","◆チャンネル登録はこちら↓http://www.youtube.com/user/hikakintv?sub_confirmation=1◆ツイッターhttps://twitter.com/hikakin◆インスタグラムhttps://instagram.com/hikakin/◆TikTokhttps://vt.tiktok.com/BTWxUN/◆ヒカキンゲームズhttp://www.youtube.com/hikakingames◆ビートボックス動画のHIKAKINチャンネルhttp://www.youtube.com/HIKAKIN◆ラフな動画のHikakinBloghttp://www.youtube.com/hikakinblog◆ヒカキンLINEスタンプはこちらhttps://store.line.me/stickershop/product/1022677/ja◆ヒカキンLINE公式アカウント●友達登録はこちら↓http://line.naver.jp/ti/p/%40hikakin#ヒカキン #hikakin#ユーチューバー#youtuber オープニング 0:00玄関 2:13 エントランスホール 2:20 シューズルーム 3:00 ペット用シャワー 3:34 ガレージ 4:17 トイレ① 5:32 リビング 6:44 キッチン 9:33 パントリー 13:06 トイレ② 14:21 室内温水プール 15:06 中庭 21:01 ウッドデッキ 21:36 壁 22:25 オリーブの木 23:16 メントスコーラ 25:47 二階の部屋① 27:06 二階の部屋② 27:43 二階の部屋③ 28:17 バルコニー 28:35 ウォークスルークローゼット 29:16 ランドリールーム 31:21 トイレ③ 31:57 メイクルーム 32:48 ジャグジーバス 34:11 アスレチックジム 36:51 寝室 40:06 3回バルコニー 41:02 バスルーム 42:22 トイレ④ 43:41 収納部屋 44:24夜の新居 44:50"
"FHxsHL2QaTw","【#にじ甲2023】熱狂！にじさんじ甲子園2023 vol.9【にじさんじ/舞元啓介】","2023-08-01T16:56:34Z","UCJubINhCcFXlsBwnHp0wl_g","舞元啓介","20","23.02.08","舞元啓介|まいもとけいすけ|maimotokeisuke|にじさんじ|nijisanji|Vtuber|anime|アニメ|japan|切り抜き|雑談|game|ゲーム|実況|舞元力一","388849","6859","0","146","https://i.ytimg.com/vi/FHxsHL2QaTw/default.jpg","False","False","今年もパワーアップして帰ってきた！にじさんじ甲子園 2023、開幕！【スケジュール】7/01（土）18:00~ ドラフト会議8/11（金）13:00~ 本戦 Aリーグ8/12（土）13:00~ 本戦 Bリーグ8/13（日）17:00~ 決勝各監督の育成配信や育成ニュースをまとめた「にじさんじ甲子園2023」の再生リストはこちらから▼  https://youtube.com/playlist?list=PLout9ZF2aCT_n1U20OUNTwJ3plg-yKWEseBASEBALLパワフルプロ野球2022https://www.konami.com/pawa/2022/にじさんじ甲子園2023応援グッズ絶賛発売中！https://shop.nijisanji.jp/s/niji/item/list?ima=4248&tag=TAG_2418/3(木)発売のNumber1078号「侍たちの甲子園」の裏表紙に監督陣＆主催者の「パワ体」描き下ろしイラストが登場！さらに8Pにわたり『にじさんじ甲子園』を特集＆主催の舞元啓介インタビュー記事も掲載！https://twitter.com/numberweb/status/1684820993624223744?s=20【主催】舞元啓介（@MaimotoKeisuke）天開司（@tenkaitsukasa ）【監督（五十音順・敬称略）】五十嵐梨花（@IgarashiRika）イブラヒム（@Ibrahim）剣持刀也（@KenmochiToya）椎名唯華（@ShiinaYuika）ニュイ・ソシエール（@NuiSociere）樋口楓（@HiguchiKaede）社築（@YashiroKizuku）リゼ・ヘルエスタ（@LizeHelesta）レオス・ヴィンセント（@LeosVincent）渡会雲雀（@WataraiHibari）＋＋＋※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。https://www.anycolor.co.jp/notice-for-minors＋＋＋"
"6sKKvf5p450","殺人ピエロがまた現れた！？【ミニゲーム】","2023-08-01T08:00:07Z","UCh7bThzNArch6TgoHB1HVhA","カラフルピーチ","20","23.02.08","マイクラ|まいくら|マインクラフト|minecraft|からぴち|カラフルピーチ|じゃぱぱ|たっつん|のあ|なおきり|ゆあん|えと|ヒロ|うり|どぬく|もふ|シヴァ|るな","764389","28979","0","2729","https://i.ytimg.com/vi/6sKKvf5p450/default.jpg","False","False","カラフルピーチ初の公式ブック『カラフルピーチと一緒に遊ぼう！マイクラ大冒険』が発売決定しました！発売日は2023年6月22日です！現在ネット書店、全国の書店で予約受付中です！▼販売サイトAmazon：https://amzn.asia/d/hpn3X05楽天ブックス：https://books.rakuten.co.jp/rb/17502532/?l-id=search-c-item-text-01詳しくはHPからチェックしてみてね！カラフルピーチの公式ホームページが開設されました🎉ここにカラフルピーチの全てがまとまってます！▼気になった方はこちらからチェックしてね！https://colorful-peach.com/🍑からぴち公式Twitter ➡︎ 🔴https://twitter.com/official_clpc↑のフォロー欄からメンバーのTwitterもフォロー出来ます！#からぴち で呟くとメンバーからメッセージか貰えたり……？？？🍑からぴちメンバー🍑じゃぱぱ／のあ／ゆあん／たっつん／シヴァ／どぬく／うり／えと／ヒロ／なおきり／もふ／るな個性豊かな12人のグループ実況………からぴちこれからもどんどん活動していきます🍑🍑🍑🍑動画について📷＿＿＿ ↓📄素画像材・PIXTA〜🎵音源＆効果音🎵〜🎷魔王魂・🔴http://maoudamashii.jokersounds.com/🎷効果音ラボ・🔴http://soundeffect-lab.info/🎷DOVA-SYNDROME・🔴http://dova-s.jp/🎷Epidemic Sound・🔴http://www.epidemicsound.com🎷Music is VFR・🔴http://musicisvfr.com/free/license.html※動画によって使用していない場合がございます。#まいくら　 #マイクラ　#からぴち夏休み"
"ukFrEn0GGMI","夏のホラゲー配信１【Shadow Corridor dlc】","2023-08-01T15:04:06Z","UCx1nAvtVDIsaGmCMSe8ofsQ","jun channel","20","23.02.08","加藤純一|うんこちゃん|ニコニコ|実況|ゲーム|プロゲーマー|ムラッシュゲーミング|MURASH GAMING","429019","5778","0","341","https://i.ytimg.com/vi/ukFrEn0GGMI/default.jpg","False","False","2にむけて。▼うんこちゃん/加藤純一Twitterhttps://twitter.com/unkochan1234567"
"x-eEFx3QvLU","長男・宏一前副社長に大声あいさつ　ビッグモーター幹部ら“環境整備点検”映像入手","2023-08-01T11:30:31Z","UCoQBJMzcwmXrRSHBFAlTsIw","FNNプライムオンライン","25","23.02.08","ニュース|NEWS|FNN|FNNプライムオンライン|フジテレビ|フジテレビジョン|FujiTelevision","1919359","5800","0","4624","https://i.ytimg.com/vi/x-eEFx3QvLU/default.jpg","False","False","ビッグモーターの幹部らが、店舗の状況を点検する環境整備点検の映像を入手した。FNNが独自に入手した、ビッグモーターの幹部が環境整備点検に訪れた際の映像。映像に映る店内には、緊張した空気が張りつめていた。店舗前の街路樹が枯れるなど、ビッグモーターが抱える問題の温床とされる環境整備点検。その点検を行う幹部一行の中心にいたのが、兼重宏行前社長の長男・兼重宏一前副社長。2021年、西日本の店舗に環境整備のため訪れた宏一前副社長を出迎えた元従業員のAさんは、印象を「(見回り中も)なんか結構スマホいじったりとか、自分からは手を下すタイプではないのかと思う。側近にかわりに言わせるみたいな感じ」と語る。現役社員のBさんは、「面と向かっては言わないです。冷徹な人。スタッフを人間だと思って接してくれない印象」と話す。動画では、到着を待ち構えていた店舗スタッフ一同が、広い店内でも響き渡るほどの大きな声を張り上げ、宏一氏ら幹部一行を出迎える様子が。環境整備では、この最初の出迎え自体が、スタッフの今後を左右するとBさんは話す。現役社員・Bさん「まず黒塗りの車で来ますので、店長が走って来店お出迎えないと、その時点で0点です。もしくは店内に入ったときに大声で全スタッフごあいさつができないと、もう機嫌を損ねて店長解任という状況になります」幹部の出迎えが問題なく終了すると、いよいよ環境整備点検に。店舗や周辺の清掃状況などが、くまなくチェックされたという。元従業員・Aさん「環境整備点検というのは、一般的な大掃除のチェックみたいなレベルではなくて、歩道に枯れ葉1枚でも落ちていたら0点というのが衝撃だった」元従業員のAさんは、環境整備をクリアするために、付近の歩道に除草剤をまいただけでなく、木の枝を折ったりもしたと証言する。元従業員・Aさん「木の幹に新しい木の枝が生えそうになっていたら、それを手で折ったり。環境整備点検のためなら何をしても許されるという風潮があった」元従業員のAさんは、この環境整備をビッグモーターにおける「踏み絵」だと振り返り、宏一前副社長の存在は「絶対だった」と語る。元従業員・Aさん「“踏み絵”ですよね...。ビッグモーターで生き残るかどうかの。できなかったらその時点で“ハイさよなら”という。(宏一)副社長、(宏行)社長は絶対だと経営計画書に記載があるんですけど、(宏一)副社長の方が影響力があった」一方、現役社員のBさんは、兼重親子が退任したあとも上層部の方針は変わっていないのではと指摘する。現役社員・Bさん「社長が変わったということだけで、副社長の下にいた本部長と常務は解任されていないので、特に何も今後は変わらないのかなと」FNNプライムオンラインhttps://www.fnn.jp/"
"Zi1EP0Hh2Es","【重大発表アリ】FuwaHiba Session LIVE【不破湊/渡会雲雀/にじさんじ】","2023-08-01T13:02:36Z","UC6wvdADTJ88OfIbJYIpAaDA","不破 湊 / Fuwa Minato【にじさんじ】","10","23.02.08","不破湊|ふわみなと|fuwaminato|にじさんじ|nijisanji|いちから株式会社|ichikara|Vtuber|anime|アニメ|japan|切り抜き|雑談|game|ゲーム|実況","477367","38731","0","721","https://i.ytimg.com/vi/Zi1EP0Hh2Es/default.jpg","False","False","やるぞVo｜渡会雲雀　@WataraiHibari Gt｜不破湊　@FuwaMinato 音源協力｜快晴P　https://twitter.com/KAISE_PリプTONE　https://twitter.com/01RIPTONE31芝山武憲　https://twitter.com/banzounanodayoサムネ｜有栖永真　https://twitter.com/alice_eishin━━━━━━━━━━━━━━━━━━━━━━━━━━Twitter｜https://twitter.com/Fuwa_MinatoMembership｜https://www.youtube.com/channel/UC6wvdADTJ88OfIbJYIpAaDA/joinマシュマロ｜https://marshmallow-qa.com/fuwa_minato?utm_medium=url_text&utm_source=promotionお問い合わせ｜https://nijisanji.jp/contact/※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。https://www.anycolor.co.jp/notice-for-minors━━━━━━━━━━━━━━━━━━━━━━━━━━#不破湊　━━━━━━━━━━━━━━━━━━━━━━━━━━"
"P77PjzKDMWU","8/1 中日×阪神 ハイライト","2023-08-01T12:58:30Z","UC2G0uq2KGFkonnG8yWeNZ_Q","【東海テレビ公式】ドラHOTpress","17","23.02.08","プロ野球|ハイライト|中日|ドラゴンズ|小笠原慎之介|オガサワラシンノスケ|石川昴|近本|森下|細川|ホームラン|梅野|西純|佐藤輝|３ランホームラン|走者一掃|阪神","134697","734","0","224","https://i.ytimg.com/vi/P77PjzKDMWU/default.jpg","False","False","1回表　森下　粘られるも10球目で空振り三振1回ｳﾗ　石川昴　ダブルプレー崩れの間に先制2回表　小笠原　ピンチ招くも梅野をダブルプレーで切り抜ける3回表　近本　同点タイムリー　　　  森下　勝ち越しタイムリー3回ｳﾗ　細川　同点ホームラン5回表　中野　ライトフライ6回表　梅野　押し出し　　　  木浪　三振　　　  西純　走者一掃のタイムリー２ベース7回表　佐藤輝　３ランホームラン#中日ドラゴンズ #ハイライト #ドラHOT"
"S0itP92FO3I","【人生初】韓国の高校生が初めて日本に来て衝撃!!! 教科書に書いてあった国と全く違って1日目の24時間が驚きの連続！","2023-08-01T11:01:28Z","UCBBLybG7OxGtnaGuJAr1xjw","IKITERU【イキテル】","22","23.02.08","初めて日本|初めて韓国|韓国高校生|韓国の高校生|高校生韓国|高等学校|韓国の高等学校|韓国の高校|韓国の学生さん|男子校生|韓国青少年|日本語の教科書|リアルな日本|日本リアクション|日本旅行リアクション|東京旅行|高校生日本旅行|高校生東京旅行|男子校|한국 고등학생|한국 고교생|한국 남자 고등학생|한국 남자고딩|남자고딩|韓国|日本と韓国|韓国語|韓国語勉強|韓国語会話|韓国語日常会話|韓国語単語|韓国語初級者|韓国語独学|韓国人ユーチューバー|韓国人|韓国人男子|韓国人男性|韓国人の友達|韓国紹介|韓国情報|韓国文化|韓国紹介ユーチューバー|韓国人の反応|韓国の反応|外国の反応|海外の反応|外国人の反応|日本旅行|韓国人日常|日本生活|日本文化|日本に来て驚いた|日本在住韓国人|日本に住んでる韓国人|来日韓国人|来日外国人|日本在住外国人|Korea|Japan|Life|Tourism|観光|일본여행|일본브이로그|韓国人 レビュー|外国人 レビュー|外国人 日本|外国人 日本語|먹방|モッパン|フード|大食い|外国人 食事","647161","20116","0","1088","https://i.ytimg.com/vi/S0itP92FO3I/default.jpg","False","False","#海外の反応  #外国人の反応  #韓国人の反応韓国の高校生たちが初来日しました！まだカメラも食レポも不慣れですが（笑）よろしくお願いします！気になる事や質問がありましたらコメントとかメールして下さい😎궁금한점이나 질문이 있으시면 댓글이나 메일 주세요🦁INSTAGRAM : ikiterutomodachiTwitter : @ikiteru7Facebook : ikiteru77Email : ikiteru7@gmail.com"
"SkyQR3Tdl_E","TREASURE - ‘BONA BONA’ DANCE PRACTICE VIDEO","2023-08-01T15:00:05Z","UCx9hXYOCvUYwrprEqe4ZQHA","TREASURE (트레저)","24","23.02.08","YG Entertainment|YG|와이지|K-pop|트레져|트레저|TREASURE|CHOI HYUN SUK|JIHOON|YOSHI|JUNKYU|YOON JAE HYUK|ASAHI|DOYOUNG|HARUTO|PARK JEONG WOO|SO JUNG HWAN|최현석|지훈|요시|준규|윤재혁|아사히|도영|하루토|박정우|소정환|TREASURE MOVE|T5 MOVE|MOVE|트레저 무브|T5|T5 무브|REBOOT|트레저 REBOOT|트레저 리부트|트레저 정규2집|TREASURE REBOOT|TREASURE 리부트|BONA BONA|I WANT YOUR LOVE|RUN|MOVE (T5)|G.O.A.T|멍청이|STUPID|어른|THE WAY TO|WONDERLAND|B.O.M.B|LOVESICK","919918","108607","0","5758","https://i.ytimg.com/vi/SkyQR3Tdl_E/default.jpg","False","False","2ND FULL ALBUM 'REBOOT'➡️ https://TREASURE.lnk.to/REBOOT_#TREASURE #트레저 #2NDFULLALBUM #REBOOT #BONABONA #DANCE_PRACTICE_VIDEO #YG"
"AW43iGJms1M","ポケカの転売で荒稼ぎする小学生","2023-08-01T09:05:27Z","UCT5BVYrrhS7gD5xzloZ8FhA","バンカラジオ / Bankaradio","24","23.02.08","ポケカ|最恐の母|ポケモンカード|コント|コメディ|寸劇|はまい|やねすけ|きいこ","197948","2976","0","215","https://i.ytimg.com/vi/AW43iGJms1M/default.jpg","False","False","今回の動画のメイキングはこちら↓https://youtu.be/0kKCH3wHbCc撮影協力；トレカブレイク様https://www.youtube.com/watch?v=Hlg1ZX_DZ3s&t=32s---------------------------------------------------------------------------------  ■バンカラジオのグッズはこちらから購入！https://ohtapro.shop-pro.jp/?mode=cate&cbid=2823117&csid=0■出演してくれた方々こんじゅりhttps://instagram.com/mkntbti30?utm_medium=copy_link緑の小学生うたゆーとhttps://www.instagram.com/uta_u_oto/?hl=ja子役の撮影協力https://twitter.com/maotakuhamuhamuカードショップ店員すきづきんhttps://twitter.com/sukidukinn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor先生役はまいhttps://twitter.com/hamaishogo1111オタク役なおとhttps://www.youtube.com/@naochannel924■バンカラジオとはきいたとやねすけの二人組が送り出すコメディチャンネル。きいたは主に小学生や最強の母きいこを演じていて、やねすけは主に天才小学生やねすけを演じています。■YouTubeバンカラジオのスタジオ（サブチャンネル）https://youtube.com/channel/UCPClGHtv2HUEDHK-eJR5YtQ■TikTokバンカラジオhttps://vt.tiktok.com/ZSee9KYs9/■Twitter やねすけ https://twitter.com/YN_sukeきいたhttps://twitter.com/Kiita_ma■Instagramやねすけhttps://www.instagram.com/yanesuke_brきいたhttps://www.instagram.com/kiita_brバンカラジオ公式https://www.instagram.com/bankaradio#寸劇　#コント   #コメディー　#ポケカ ---------------------------------------------------------------------------------------お仕事のご依頼はこちらへお願い致します↓toiawase@ohtapro.co.jpバンカラジオは切り抜きチャンネルを運営してくれる方を募集してます。収益配分は４０％となります。切り抜きチャンネルの公認化、収益化の申請はこちらにお願いします。https://forms.gle/ZjYHYrPmFRkjqdPb7お手紙、プレゼントなどの宛先はこちらです。※飲食物、火薬物など危険が伴うプレゼントは受け付けておりません。〒160-0004東京都新宿区四谷3-12 フロンティア四谷2F（株）太田プロダクション バンカラジオ 宛"
