video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"uiFiX9SVGMo","인피니트(INFINITE)의 킬링보이스를 라이브로! – 내꺼하자, 추격자, 파라다이스, New Emotions, Man In Love, 그 해 여름, Tell Me | 딩고뮤직","2023-08-01T10:00:08Z","UCtCiO5t2voB14CmZKTkIzPQ","딩고 뮤직 / dingo music","10","23.02.08","딩고뮤직|dingo|dingomusic|music|kpop|live|멜론|세로라이브|최신가요|top100|아이돌|라이브|음악|딩고|Infinite|인피니트|김성규|장동우|남우현|이성열|김명수|엘|이성종|NewEmotions|컴백|13주년|5년|앨범","738715","68097","0","9309","https://i.ytimg.com/vi/uiFiX9SVGMo/default.jpg","False","False","함께한 그리고 계속 함께할 인피니트🫰🏻5년 만에 돌아온 신곡 ‘New Emotions’도 많은 사랑 부탁드립니다💛[선곡리스트]00:00 오프닝00:40 다시 돌아와01:26 내꺼하자03:05 파라다이스 (Paradise)04:40 Can U Smile (Broadcasting Ver.)05:37 Tic Toc07:01 Nothing’s Over08:12 Man In Love (남자가 사랑할때)09:19 Cover Girl10:23 Julia11:48 그 해 여름12:59 BTD (Before The Dawn)14:09 추격자 15:29 Bad17:04 태풍 (The Eye)17:51 Tell Me18:56 New Emotions 🆕20:36 함께▶딩고뮤직 (Dingo Music) : http://bit.ly/Dingo__Music▶딩고프리스타일 (Dingo Freestyle) : http://bit.ly/Dingo__Freestyle▶일소라 (일반인들의 소름돋는 라이브) : http://bit.ly/ilsoracontact : musicbiz@makeus.com#인피니트 #INFINITE #킬링보이스#김성규 #장동우 #남우현 #이성열 #김명수 #엘 #이성종#Comeback #Begin #New_Emotions #KillingVoice #딩고뮤직 #DingoMusic"
"28WEkKDnvf0","[#복면가왕] 텐트 취침 싫다고 잉잉 울던 '아빠어디가' 민국이,,  슴살이 되어 돌아왔슴다😭 아빠도 깜~~빡 속은 《복면가왕》 깜짝 무대!ㅣ#김민국 MBC230730방송","2023-08-01T06:28:17Z","UCiwQRG2sCcfjKkgxMEdJGPg","엠뚜루마뚜루 : MBC 공식 종합 채널","23","23.02.08","복면가왕|민국이|성주|김성주|김민국|아빠어디가|아어가|텐트 취침|깜짝카메라|후|윤후|준수|10준수|민율이|복가|무대 레전드|민국이 노래","1660975","17532","0","1531","https://i.ytimg.com/vi/28WEkKDnvf0/default.jpg","False","False","[복면가왕] 일요일 저녁 6시 20분 방송!MBC의 따끈따끈한 영상을 내 맘대로 편하게 즐기는 채널🌀 엠뚜루마뚜루 구독하기👉https://www.youtube.com/c/엠뚜루마뚜루#복면가왕#엠뚜루마뚜루* [복면가왕] 풀버전 보러가기✔ WAVVE : https://www.wavve.com/player/vod?programid=M_1000790100000100000&page=1✔ iMBC : http://playvod.imbc.com/templete/VodList?bid=1000790100000100000"
"0pZOIQ9ScFs","[🔴ON AIR] ＂다음 달부터 호텔 사장직 맡아!!＂ 세상 완벽한 PT로 상무 제치고 사장으로 급승진한 준호👍｜킹더랜드 | JTBC 230729 방송","2023-07-31T06:36:30Z","UCKuwp52MjSk-zeFRpchSheg","DRAMA Voyage","24","23.02.08","genre:로맨스|format:하이라이트|type:방송|series:킹더랜드|topic:정주행|person:이준호|person:김선영|킹더랜드|준호|이준호|임윤아|윤아|김선영|구화란|구일훈|회장|손병호|PT|전략 PT|생존 경영|정규직|계약직|일용직|직원 복지|인건비 삭감|비용 절감|경영|경영 PT|준호 승진|준호 사장|이준호 누나|준호 김선영|이준호 김선영|김선영 이준호|킹더랜드 누나|2pm","917011","6150","0","503","https://i.ytimg.com/vi/0pZOIQ9ScFs/default.jpg","False","False","[ ON AIR｜드덕이들과 함께 하는 정주행=33 ] 회사는 직원을 만들고, 직원은 회사를 만듭니다계약직, 일용직 말씀하셨죠?그런 고용형태가 쓰고 버리기는 편합니다하지만 그들도 회사를 버리기 편하겠죠언제든 서로 버리기 편한 사람들끼리 일하는 겁니다그러지 마시죠?#킹더랜드 #이준호 #김선영[JTBC 드라마봐야지] 구독하기☞ http://asq.kr/Hd3sRqnnPvcC------------------------------------------------------📌 영상 속 프로그램은?【킹더랜드｜King the Land】 -13회https://tv.jtbc.co.kr/kingtheland------------------------------------------------------"
"x6bsjkGju6c","[앵콜캠4K] 정국 'Seven (feat. Latto)' 인기가요 1위 앵콜 직캠 (Jung Kook Encore Fancam) | @SBS Inkigayo 230730","2023-07-30T10:29:58Z","UCS_hnpJLQTvBkqALgapi_4g","스브스케이팝 X INKIGAYO","24","23.02.08","Inkigayo|인기가요직캠|안방1열직캠|스브스케이팝|스브스 직캠|인기가요|인가|음방|음악방송|정국|방탄소년단|정국 세븐|정국 솔로|정국 솔로 데뷔|정국 솔로 노래|빅히트 엔터테인먼트|하이브|정국 뮤직비디오|Jung Kook|Seven|정국 Seven|정국 한소희|BTS|정국 인기가요|방탄소년단 인기가요|정국 솔로 무대|정국 인기가요 무대|정국 직캠|전정국","5114430","334040","0","13189","https://i.ytimg.com/vi/x6bsjkGju6c/default.jpg","False","False","[앵콜캠4K] 정국 'Seven (feat. Latto)' 인기가요 1위 앵콜 직캠 (Jung Kook Encore Fancam) | @SBS Inkigayo 230730#인기가요1위 #정국 #JungKook #BTS #Seven ---------------------------------------------------------------------------------------—☞ MORE ＂SBS KPOP＂Twitter : https://twitter.com/kpop_sbsFacebook : https://www.facebook.com/sbskpopInstagram : https://instagram.com/sbskpop_official"
"Is6h6cxuEiI","옆반에 호랑이 선생님이 새로 오셨다","2023-08-01T09:00:13Z","UC5xLohcPE65Y-U62X6snmRQ","빠더너스 BDNS","23","23.02.08","comedy|코미디|코메디|스케치코미디|웃긴영상|문상훈|꽁트|레전드|문쌤|문쌤 인강|문상훈 DP|DP|DP2|문상훈 DP2|DP2 문상훈|문상훈 넷플릭스|넷플릭스|김성균|만담|문쌤 문상훈|빠더너스|BDNS|빠더너스 문상훈|빠더너스 인강|일타강사|일타강사 문상훈|문상훈 군인","878500","25727","0","1720","https://i.ytimg.com/vi/Is6h6cxuEiI/default.jpg","False","False","#문쌤 #dp #dp2 Instagram @bdnspresents"
"Nuee5Gfhekw","[4K] NewJeans (뉴진스) “Cool With You” Band LIVE Concert │믿고 보는 뉴진스의 밴드라이브🐰 [it’s KPOP LIVE 잇츠라이브]","2023-08-01T08:00:09Z","UCB9e3pof1o83aa0kkaoeJGA","it's Live","24","23.02.08","NewJeans|뉴진스|Cool With You|Super Shy|Hurt|Hype Boy|Attention|민지|하니|다니엘|해린|혜인|KPOP Group|KPOP Idol|KPOP|MDR|잇츠라이브|itsLive|Band|Band LIVE|밴드|밴드라이브|콘서트|온라인콘서트|온콘|공연|축제","743631","62189","0","2136","https://i.ytimg.com/vi/Nuee5Gfhekw/default.jpg","False","False","잇츠라이브를 찾아온 NewJeans (뉴진스)!!😍90년대 후반 Pop Scene의 정취가 담긴 곡,뉴진스의 'Cool With You’ 무대를 지금 바로 만나보세요🐰NewJeans - “Cool With You”#itsLive #NewJeans #CoolWithYou #뉴진스 #민지 #하니 #다니엘 #해린 #혜인 #콘서트 #밴드 #KPOP #잇츠라이브"
"0bIRwBpBcZQ","ITZY “CAKE” M/V @ITZY","2023-07-31T08:58:09Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","23.02.08","JYP Entertainment|JYP|ITZY|있지|イッチ|예지|리아|류진|채령|유나|YEJI|LIA|RYUJIN|CHAERYEONG|YUNA|イェジ|リア|リュジン|チェリョン|ユナ|อิทจี|เยจี|ลีอา|รยูจิน|แชรยอง|ยูนา|ITZY VIDEOS|ITZY LOCO|ITZY BEHIND|MV|ITZY MV|ITZY MUSIC VIEDOS|Teaser|ITZY Teaser|ITZY VLOG|VLOG|IT'z Different|IT'z ICY|IT'z ME|Not Shy|GUESS WHO|CRAZY IN LOVE|DALLA DALLA|ICY|WANNABE|마.피.아.IN THE MORNING|LOCO|SNEAKERS|있지있지|있있|CHESHIRE|체셔|KILLMYDOUBT|BETONME|NoneofMyBusiness|CAKE","7279975","550498","0","61452","https://i.ytimg.com/vi/0bIRwBpBcZQ/default.jpg","False","False","ITZY “CAKE” M/V🎧 TITLE http://kko.to/eoMjL0dgJy💿 ALBUM http://ITZY.lnk.to/KILLMYDOUBT[ITZY Official]▶ https://www.youtube.com/c/ITZY▶ https://www.instagram.com/itzy.all.in.us▶ https://www.tiktok.com/@itzyofficial▶ http://www.twitter.com/ITZYOfficial▶ http://www.facebook.com/OfficialITZY▶ https://www.weibo.com/u/7462077750?is▶ http://ITZY.jype.com▶ http://fans.jype.com/ITZY#ITZY #ITZY_KILLMYDOUBT #ITZY_CAKECopyrights 2023 ⓒ JYP Entertainment. All Rights Reserved"
"cE65LD82Kkw","[MV] YOUNGTAK(영탁) _ FORM(폼미쳤다)","2023-08-01T09:00:20Z","UCweOkPb1wVVH0Q0Tlj4a5Pw","1theK (원더케이)","10","23.02.08","K-POP|Kpop|1theK|원더케이|Original|1theK Original|TOP100|idol|아이돌|라이브|LIVE|멜론|원더케이 오리지널|음악","757257","14142","0","4132","https://i.ytimg.com/vi/cE65LD82Kkw/default.jpg","False","False","[MV] YOUNGTAK(영탁) _ FORM(폼미쳤다)K-POP Wonderland, 1theKK-POP의 모든 즐거움을 1theK(원더케이)에서 만나보세요! :)Welcome to the official YouTube channel of K-POP Wonderland, 1theK1theK Live Subscribe 👉 https://www.youtube.com/@1theKLive[Notice] 1theK YouTube is also an official channel for the MV, and music shows will count the views from this channel too.[공지] 1theK YouTube는 MV를 유통하는 공식 채널로, 1theK에 업로드된 MV 조회수 또한 음악방송 순위에 반영됩니다.#NEWRELEASE#MV#1theK#원더케이1theK YT : https://www.youtube.com/1theK1theK FB  : http://www.facebook.com/1theK1theK TW : https://twitter.com/1theK1theK TikTok : https://vt.tiktok.com/2mSMBS1theK Originals YT : https://www.youtube.com/1theKOriginals1theK Live YT : https://www.youtube.com/@1theKLive1theK Live Instagram : https://www.instagram.com/1thek_live/"
"YnnzRr_KyGY","[5-6화 하이라이트] 엄마의 썸남이 내 아빠라고?! | 남남","2023-08-01T14:20:00Z","UCXmRJfZ3atLVLDiO5Ufycvw","스튜디오지니","24","23.02.08","[none]","471967","2804","0","163","https://i.ytimg.com/vi/YnnzRr_KyGY/default.jpg","False","False","살인사건 용의자인 줄 알았던 사람이엄마의 썸남이 첫사랑이자 내 아빠였다고?!📺 Genie TV Original [남남]은ENA 채널 매주 월,화 밤 10시 본방송!스트리밍은 Genie TVGenie TV 모바일에서도 이어 보세요~!#GenieTV #지니TV #ENA #지니TV모바일#남남 #전혜진 #최수영 #안재욱 #박성훈"
"qGIewKHV7B8","한 편으로 끝내드립니다. 갤럭시 Z 플립 5 언빡싱&간단 사용기","2023-08-01T11:30:17Z","UCdUcjkyZtf-1WJyPPiETF1g","ITSub잇섭","28","23.02.08","플립5|z플립5|플립 5|잇섭 플립5|플립5 언박싱|플립5 리뷰|플립5 사용기|갤럭시 z 플립5|잇섭 갤럭시|잇섭 메인폰|잇섭 플립5 리뷰|플립5 색상|플립5 사전예약|플립5 케이스|플립5 NFC 케이스|플립5 민트|플립5 카메라|플립5 방수|galaxy|galaxy z flip 5|flip 5|z flip 5","871605","9636","0","1377","https://i.ytimg.com/vi/qGIewKHV7B8/default.jpg","False","False","삼성에서 대여해준 갤럭시 Z 플립 5를 뜯어보았습니다. 그전 영상에서 댓글 달아주신 궁금한 점을 최대한 미리 써보며 답해보려고 해서 영상이 길어졌습니다. 짧게나마 사용해 본 결과 다음 삼성 메인폰은 요걸로 쓸 생각이 들었다..랄까요?🔋 Specs.모델명 : 갤럭시 Z 플립5플렉스윈도우 : 3.4인치 Super AMOLED메인디스플레이 : 6.7인치 Dynamic AMOLED 2X 120Hz프로세서 : 퀄컴 스냅드래곤 8 Gen2 For GalaxyRAM : 8GB저장공간 : 256GB or 512GB무게 : 187g방수 : IPX8전면카메라 : 1000만화소 F2.4광각카메라 : 1200만화소 F1.8초광각카메라 : 12000만화소 F2.2색상 : 민트, 크림, 라벤더, 그라파이트가격 : 1,399,200원⏲️ Timestamps.00:00 보안 유지00:12 오프닝00:29 언빡싱01:30 디자인05:52 플렉스 윈도우11:00 카메라14:41 NFC 케이스15:29 배터리&충전속도16:05 성능18:13 가격18:27 첫 평가 🎵 Music.ES_Jacuzzi - Jobii👕 Merch.지금 입고있는 옷? : https://abit.ly/blackcowlabs📧 Business contacts. itsub@itud.io#갤럭시 #플립5 #간단사용기"
