video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"bf-B1QORoMM","PELEÉ DOS VECES EN LA VELADA DEL AÑO 3 - MI PREPARACIÓN","2023-07-20T22:54:49Z","UCW3bX8K5LuQHw8cKc3U8iUg","Rivers","20","23.22.07","[none]","2702678","275702","0","17035","https://i.ytimg.com/vi/bf-B1QORoMM/default.jpg","False","False","Holaaa pollitos de color!, acá les dejo por fin el documental de todo mi proceso para La Velada del Año 3, espero les guste y gracias por verlo• TODO ESTO PASA EN:https://www.twitch.tv/rivers_gg• TWITTER:https://twitter.com/samyriveratv• INSTAGRAM:https://www.instagram.com/samyrivera/• CONTACTO:rivers@randy.com.mx----------------------Marcas de tiempo:00:00:00 Día 1: Primer entrenamiento00:04:57 Día 3: Primer sparring con Ronny00:07:24 Día 4 - 900:12:26 Viaje España presentación Queens00:13:42 Cambio de combate00:14:38 Presentacion Velada Del Año00:17:19 Sparring con Mayichi00:18:28 Día 11: Elmariana me acompaña a entrenar00:22:42 Día 1200:25:09 Día 13: Entrenamiento y sparring con Ama00:28:36 Día 14 - 17 00:29:50 Día 18: Primer Sparring00:30:59 Día 19: Entrenamiento y sparring con Roberto y Chapa00:34:00 Día 20 - 22: Entrenamiento y sparring con Ari00:37:35 Día 23: Subí al cerro00:40:19 Día 24: Segundo sparring00:41:28 Día 25-26: Tercer sparring00:44:18 Día 2700:44:40 Día 28: Sparring vs 300:52:12 Día 1 - 3 Terapia00:54:56 Día 29 - 3100:58:41 Día 32: Cuarto Sparring01:00:21 Dia 33: Sparring con Elmariana01:04:41 Día 34 - 35: Quinto Sparring01:08:09 Día 36: Sexto Sparring01:09:42 Día 37 - 38: Una semana antes del viaje01:12:33 Día 39: Sparring con Franco Escamilla01:20:28 Día 4001:23:36 Video y regalos de Canelo01:26:16 Día 41: Ultimo sparring México01:31:30 VIAJE A ESPAÑA01:37:04 Primer día en España01:41:46 Segundo día en España, entrenamiento01:42:36 Último Cara a Cara01:44:13 Entrenamiento con Luzu01:47:50 Grabación presentación con Rubius de MadKat01:50:07 Ronny se duerme en el Chup Chup01:51:22 Alcalde POV01:52:03 Viaje a Valencia01:54:11 Jornada 8 KingsLeague01:56:18 Entrenamiento02:00:35 ¿Hago una segunda pelea?02:11:09 Entrenando en el gimnasio de Jero García02:30:58 PESAJE02:39:13 DÍA DE LA VELADA DEL AÑO"
"_kS7F4VpJa0","Travis Scott, Bad Bunny, The Weeknd - K-POP (Official Music Video)","2023-07-21T16:00:26Z","UClRx3MMyYUyqOxyEqA5F2nQ","TravisScottVEVO","10","23.22.07","bad bunny|utopia|travis scott utopia|utopia travis scott|the weeknd|travis scott bad bunny|k-pop|kpop|travis scott k-pop|travis scott kpop|Lo mejor de Travis Scott|Éxitos de Travis Scott|Canción de Travis Scott|Video de Travis Scott|melhor de Travis Scott|Sucessos de Travis Scott|Vídeo de Travis Scott|Música de Travis Scott|highest in the room|Sicko Mode|goosebumps|Birds in the Trap|through the late night|Rodeo|new","3945405","264187","0","13879","https://i.ytimg.com/vi/_kS7F4VpJa0/default.jpg","False","False","Travis Scott, Bad Bunny & The Weeknd - K-POP (Official Music Video)K-POP available at: https://TravisScott.lnk.to/K-POPDirected by Travis ScottTravis Scott online:https://shop.travisscott.com/https://twitter.com/trvisXXhttps://www.instagram.com/travisscott/https://soundcloud.com/travisscott-2https://www.facebook.com/travisscottlaflamehttps://travisscott.com/(C) 2023 Cactus Jack Records under exclusive license to Epic Records, a division of Sony Music Entertainment#TravisScott #BadBunny #TheWeeknd #KPOP"
"XOQcDjRUJHA","Travis Scott, Bad Bunny, The Weeknd - K-POP (Official Audio)","2023-07-21T04:00:15Z","UClRx3MMyYUyqOxyEqA5F2nQ","TravisScottVEVO","10","23.22.07","bad bunny|utopia|travis scott utopia|utopia travis scott|the weeknd|travis scott bad bunny|k-pop|kpop|travis scott k-pop|travis scott kpop|Lo mejor de Travis Scott|Éxitos de Travis Scott|Canción de Travis Scott|Video de Travis Scott|melhor de Travis Scott|Sucessos de Travis Scott|Vídeo de Travis Scott|Música de Travis Scott|highest in the room|Sicko Mode|goosebumps|Birds in the Trap|through the late night|Rodeo|new","1809089","200164","0","14045","https://i.ytimg.com/vi/XOQcDjRUJHA/default.jpg","False","False","Travis Scott, Bad Bunny & The Weeknd - K-POP (Official Audio)K-POP available at: https://TravisScott.lnk.to/K-POPTravis Scott online:https://shop.travisscott.com/https://twitter.com/trvisXXhttps://www.instagram.com/travisscott/https://soundcloud.com/travisscott-2https://www.facebook.com/travisscottlaflamehttps://travisscott.com/(C) 2023 Cactus Jack Records under exclusive license to Epic Records, a division of Sony Music Entertainment#TravisScott #BadBunny #TheWeeknd #KPOP"
"LTE9ktAcSQg","Grupo Frontera x Ke Personajes - Ojitos Rojos (Video Oficial)","2023-07-21T00:00:11Z","UCKsN6xyJ2w8g7p4p9apXkYQ","Grupo Frontera","10","23.22.07","grupo frontera|frontera|frontera grupo|ke personajes|ke personaje|que personajes|ojitos rojos|grupo frontera y ke personajes|ke personajes grupo frontera|grupo frontera 2023|ke personajes 2023|grupo frontera ojitos rojos|ke personajes ojitos rojos|ojitos rojos grupo frontera|ojitos rojos ke personajes|grupo frontera ke personajes ojitos rojos|ojitos rojos grupo frontera ke personajes|dime que tambien lloran tus ojitos cuando preguntan por nosotros|cumbia|musica","2427559","119280","0","3682","https://i.ytimg.com/vi/LTE9ktAcSQg/default.jpg","False","False","Grupo Frontera x Ke Personajes - Ojitos Rojos (Video Oficial)Escucha Ojitos Rojos en tu plataforma favorita: https://bfan.link/ojitos-rojosLo mejor de Grupo Frontera aquí: https://bit.ly/GrupoFronteraExitosSuscríbete a nuestro canal: https://bit.ly/GrupoFronteraYTLetra:¡Cuidado!Aquí un soldado caídoCon el corazón partidoQueriendo sobrevivir¡Cuidado!Me quedan pocos latidosPorque ya no estas conmigoEstoy que muero sin tiDime que también lloran tus ojitos cuando preguntan por nosotros,Dime que piensas en mi aunque no esté ahí, aunque estés con otroDime yo no te olvidaréPorque yo a ti no te olvidaréEn el cel no me queda un espacio y no borro tus fotosDime que también lloran tus ojitos Y se te ponen todos rojosDime que piensas en mi aunque no esté ahí, aunque estés con otroDime yo no te olvidaréPorque yo a ti no te olvidareEn el cel no me queda un espacio y no borro tus fotosMe rehuso a borrar los recuerdos que tengo contigoSi supieras que tu contacto aún tiene corazón y una foto contigoPara saber que eres tu cuando me vuelvas a llamarPorque yo se que un día de estos va a pasarTengo fé que vamos a regresarAunque me digas que noY te engañes estando con otro bebé se que soy El amor de tu vida y que también quieres echar para atrás el tiempo pero todavía estamos a tiempo de volver Porfa dime que quiero saberDime que también  lloran tus ojitos cuando preguntan por nosotros,Dime que piensas en mi aunque no esté ahí, aunque estés con otroDime yo no te olvidaréPorque yo a ti no te olvidaréEn el cel no me queda un espacio y no borro tus fotosDime que también lloran tus ojitos Y se te ponen todos rojosDime que piensas en mi aunque no esté ahí, aunque estés con otroDime yo no te olvidaréPorque yo a ti no te olvidaréEn el cel no me queda un espacio y no borro tus fotosHey como siempre, solo por hoy amor, solo por hoyDime que también  lloran tus ojitos cuando preguntan por nosotros,Dime que piensas en mi aunque no esté ahí, aunque estés con otroDime yo no te olvidaréPorque yo a ti no te olvidaréEn el cel no me queda un espacio y no borro tus fotosDime que también lloran tus ojitos Y se te ponen todos rojosDime que piensas en mi aunque no esté ahí, aunque estés con otroDime yo no te olvidaréPorque yo a ti no te olvidaréEn el cel no me queda un espacio y no borro tus fotosEso es Grupo Frontera y Ke Personajes_____________________Créditos:Artista: Grupo Frontera y Ke PersonajesCanción: Ojitos Rojos Producción: Edgar BarreraCompositores: Edgar Barrera, Horacio Palencia, Diego Bollella UrtusasteguiAcordeon: Juan Javier Cantu BajoSexto: Alberto Acosta Bajo: Brian OrtegaGuitarra: Edgar BarreraProgramación: Edgar BarreraVoz: Adelaido Solis, Emanuel NoirIngeniero de grabación: Abiel Beltrán, Edgar BarreraIngeniero de mezcla: Luis Barrera JrMasterización: Luis Barrera Jr#GrupoFrontera #KePersonajes #OjitosRojos #Cumbia #RegionalMexicano"
"3Wnso2A4PZE","LADY GAGA (Video Oficial) - Peso Pluma, Gabito Ballesteros, Junior H","2023-07-21T00:00:07Z","UCzrM_068Odho89mTRrrxqbA","Peso Pluma","10","23.22.07","lady gaga peso pluma|lady gaga peso pluma letra|lady gaga peso pluma reaccion|lady gaga|Peso Pluma|Génesis|La doble P|Pura Doble P|Doble P|PP|música Peso Pluma|musica Peso Pluma|Peso Pluma music|Peso Pluma canciones|corridos|corridos tumbados|corridos bélicos|corridos belicos|corrido|ella baila sola|la bebe|el azul|PRC|gabito ballesteros|junior h|peso pluma gabito ballesteros junior h|peso pluma la bebe|por las noches|lady gaga peso|double p","2874695","145833","0","5143","https://i.ytimg.com/vi/3Wnso2A4PZE/default.jpg","False","False","LADY GAGA (Video Oficial) - Peso Pluma, Gabito Ballesteros, Junior HDouble P Records➸VideoDirector : Fernando Lugo Producer : Fabiana Olive Prod company : Hero Kids x Buena Vibra group DP: Joshua HillEdit: Joann Pabon Color : Cesar Alpuche➸Música Interpretación - Peso Pluma, Gabito Ballesteros, Junior HComposición  - Alexis Fierro, Gabriel Ballesteros AbrilProducción -  Gabriel Ballesteros Abril➸LetraDom Perignon Lady Gagalentes en la cara, tussy lavada. Triple lavada y una bandida que me llamaQuieren mi lana. Y no está mal, porque me seduce como animalNinguna sube nada al Instagram. Solo disfrutan, solo disfrutan. Pura influencer bien placosaLas que navegamos y las volamos. Y unas privadas en yatesTronamos las pacas y sin Yolanda. Me voy a enfiestar polvito rosaPlumita de wax, esa estructura vale 30KNo puedes pagar, no te va a alcanzar.Viviendo en el San Andrés pero de a deveras, carros y feria. Tres estrellas me atoraronLa clave en caliente desafanaron.Music y cocaine, me gusta el Lambo pero es el Merced, esa es muy bella y se deja querer.Le gustaría si  alguien quiere mi Cartier.¡Oh oh oh oh oh oh ahhh!¡Ah ah ah ah ah ahhh! Así nomás compa peso, compa Junior Compa Gabito, doble p¡Cha chau!Pura doble p, viejillo Que siga la mata dando compa Junior Compa Gabito Once número de suerteSiete bien pendientes y andamos fuertes.Zumbando en el razer, máscarasPolvo y ambiente, brillan mis dientes.No soy fresón, pero en Egipto shishas como yo Para mariscos frescos en Japón, tira jodido, lira, joriron.Makabelico, sonando, las güeras bailando, con beat malandro.Pura encapuchada bélica, no pasa nada, nadie las para.¿Qué quiénes son?Eso mismito me pregunto yoCada saludo lleva un billetónPura Louis Vuitton, trae un flow cabrónDom Perignon Lady GagaLentes en la cara, tussy lavada. Triple lavada y una bandita que me llamaQuieren mi lana. Y no está mal, porque me seduce como animalNinguna sube nada al Instagram. Solo disfrutan, solo disfrutan. ¡Oh oh oh oh oh ah!! ¡Ah ah ah ah ah!Peso Pluma ⋟Instagram -  https://bit.ly/3KxRYMd⋟Spotify - http://bit.ly/435v7ii⋟TikTok - http://bit.ly/3ZBp3LC⋟Apple Music - http://bit.ly/411a92p#pesopluma #GÉNESIS #doubleprecords"
"ag1F8xAUjX8","La Historia de Skibidi Toilet (Temporadas 1 - 10) - Pepe el Mago","2023-07-21T17:25:45Z","UCqBAbqbx4q7G5upsptccdPA","Pepe El Mago","20","23.22.07","La Historia de Skibidi Toilet|Pepe el Mago|Skibidi Toilet Español|Pepe el Mago Skibidi Toilet|Historia|Videojuegos|Juegos|Los Videojuegos|Top Videojuegos|Skibidi|Skibidi Toilet Historia|Skibidi Toilet Historia Español","351068","18654","0","861","https://i.ytimg.com/vi/ag1F8xAUjX8/default.jpg","False","False","Descubre La Historia de Skibidi Toilet (Temporadas 1 - 10) a mi lado !!MAS HISTORIAS DE VIDEOJUEGOS: https://www.youtube.com/watch?v=xUQ6uyhNUoc&list=PLHySkP5mjsQS9tKVjfviKv0owCn0E4e7MCanal de DaFuqBoom: https://www.youtube.com/@UCsSsgPaZ2GSmO6il8Cb5iGA DIRECTOS en TWITCH TODOS LOS DIAS!: https://www.twitch.tv/pepe_el_magotv¡No te olvides de suscribirte al canal para no perderte ningún video! http://goo.gl/0u862wÚnete a nuestro Discord: https://discord.gg/fJyecjYTwitter: https://twitter.com/pepe_el_magoInstagram: https://www.instagram.com/pepeelmago1/Contacto: contactopepeelmago@gmail.com¡No soy dueño de NADA que tenga derechos de autor en este vídeo! ¡Por favor apoyemos a los autores originales!Carátulas por Chester Green: https://www.instagram.com/the_chester_green/Videos/Gameplays Usados: https://www.youtube.com/watch?v=nIEar17zX0I&t=1s&ab_channel=RobMartinhttps://www.youtube.com/watch?v=OFh_Qx3sroY&ab_channel=DarkSimpsonshttps://www.youtube.com/watch?v=U2rarpTQYE0&t=108s&ab_channel=RafitaGorgoryhttps://www.youtube.com/watch?v=7o9qLwH_VhI&ab_channel=Ruffvanhttps://www.youtube.com/watch?v=8k-KJPVtf7k&ab_channel=Ruffvanhttps://www.youtube.com/watch?v=GI27mX1BHvk&ab_channel=OjasPatelhttps://www.youtube.com/watch?v=Mb1x_tRg2mc&ab_channel=Abakcushttps://www.youtube.com/watch?v=xXGtudsGUls&ab_channel=flamingeyeball1https://www.youtube.com/watch?v=gSNJRSPwOPg&ab_channel=Tigermovieclipshttps://www.youtube.com/watch?v=Kp0gLnoU59A&t=52s&ab_channel=Mr.Fahrenheithttps://www.youtube.com/watch?v=QrFe_r3iW_M&ab_channel=SceneCityhttps://www.youtube.com/watch?v=0GpHRzY6ejY&ab_channel=HBOMaxLatinoam%C3%A9ricahttps://www.youtube.com/watch?v=_nTpsv9PNqo&t=43s&ab_channel=bzpyhttps://www.youtube.com/watch?v=24dQnG2rjjo&ab_channel=MonstersVsAliensUniversehttps://www.youtube.com/watch?v=mLVmocdbJbw&ab_channel=RicoPenguinhttps://www.youtube.com/watch?v=sAuPLoTVmWI&ab_channel=E.M.F.Productionshttps://www.youtube.com/watch?v=ncBJAXfIsrE&ab_channel=JoBloMovieClipshttps://www.youtube.com/watch?v=Jbvk2rQa8wo&ab_channel=PumpkinBrainhttps://www.youtube.com/watch?v=9aq_ueWlDM0&ab_channel=Niaedoramhttps://www.youtube.com/watch?v=W24-sQcpgAw&ab_channel=SimpsonsClipshttps://www.youtube.com/watch?v=VPO-W7PFtD8&ab_channel=LynetteFloydhttps://www.youtube.com/watch?v=FpBJih02aYU&ab_channel=PeacockKidshttps://www.youtube.com/watch?v=8Nl8eMXiDvc&ab_channel=Uffhttps://www.youtube.com/watch?v=gAw9Ps-jwzM&ab_channel=LegendaryMovieSceneshttps://www.youtube.com/watch?v=uzQ5Z9w3vLY&ab_channel=RafitaGorgoryhttps://www.youtube.com/watch?v=eKT74jp6iQM&ab_channel=MikuruAsahinahttps://www.youtube.com/watch?v=FaTa-wJIWZ0&ab_channel=scanVis0rhttps://www.youtube.com/watch?v=H6PQ9czKlTs&ab_channel=ILoveFilmhttps://www.youtube.com/watch?v=AVpaWGKghqM&ab_channel=HiKevinhttps://www.youtube.com/watch?v=ZsAo3G6M_EI&ab_channel=KonradMetkalfhttps://www.youtube.com/watch?v=DeDp6vO7MV0&ab_channel=Budokaihttps://www.youtube.com/watch?v=yWrZR0nE7ek&ab_channel=Bluetubehttps://www.youtube.com/watch?v=jgYYOUC10aM&ab_channel=Key%26Peelehttps://www.youtube.com/watch?v=wnNPJaCmTGw&ab_channel=FlashbackFMhttps://www.youtube.com/watch?v=7v_NUHXmFCw&ab_channel=SpringfieldianoVMhttps://www.youtube.com/watch?v=7e4Jg_eVJqg&ab_channel=TheBestClipshttps://www.youtube.com/watch?v=jane6C4rIwc&ab_channel=FlashbackFMhttps://www.youtube.com/watch?v=EDZDw4EK-pI&ab_channel=purorockyag%C3%BCitahttps://www.youtube.com/watch?v=ZbSqmccEhKo&t=2s&ab_channel=VitalyDubreilhttps://www.youtube.com/watch?v=VD-fBj4d9Ck&ab_channel=JoBloMovieClipshttps://www.youtube.com/watch?v=dbbCihtFxo0&ab_channel=JoBloMovieClipshttps://www.youtube.com/watch?v=vR64m_pWdqc&ab_channel=NathanMayershttps://www.youtube.com/watch?v=zHm2L-Om_Hc&ab_channel=GeneratorRex%26Ben10https://www.youtube.com/watch?v=br4tnE425y0&ab_channel=naezith"
"nUsAYl-E22E","Yoss Bones x Nanpa Basico - No Puedo Olvidarte","2023-07-21T18:00:11Z","UCeQMZ68wcb97NCCKiI2KxnQ","Yoss Bones","10","23.22.07","alzada|alzada films|casa alzada|familia alzada|los de alzada|rap|trap|latina|urbana|urbano|músico|hip hop|hiphop|los de alzada camarada|r&b|r & b|yoss bones|la yoss|salamanca|yoss|yos bons|yos|yoss bones mexico|jos bon|la princesa de la calle|princesa de la calle|la princesa de la kye|princesa de la kye|kye|Yoss Bones Nanpa Basico No Puedo Olvidarte|Yoss Bones No Puedo Olvidarte|Nanpa Basico No Puedo Olvidarte|No Puedo Olvidarte|Nanpa Basico|Yoss Bones","84964","8073","0","209","https://i.ytimg.com/vi/nUsAYl-E22E/default.jpg","False","False","Escucha a #YossBones & #NanpaBasicoYoss BonesSpotify: https://open.spotify.com/artist/0SmgVe3giVHaJjGmIz8xA4Apple Music: https://itunes.apple.com/mx/artist/yoss-bones/1383563581Amazon Music: https://music.amazon.com.mx/artists/B07D138PBL/yoss-bonesInstagram: https://www.instagram.com/yossbones/Nanpa BasicoApple Music: https://music.apple.com/mx/artist/nanpa-b%C3%A1sico/1029100915Spotify: https://open.spotify.com/artist/1cUpGtXcSQsovNYEZOQgOG?si=74e784d20e7b45c5Amazon Music: https://music.amazon.com.mx/artists/B013QCTL1C/nanpa-b%C3%A1sicoInstagram: https://www.instagram.com/nanpabasicooficial/Únete al grupo de Facebook Oficial del Alzada: https://found.ee/JPbpu#AlzadaMezcla & Mastering: RiverBeatmaker: @LaLoqueraProduccionesOficial Filmmaker: The WildcatsDirector Ejecutivo: Alan Rodrigo Ledesma Rios, Daniel Takenaga.Contrataciones: booking@alzada.mxContacto: contacto@alzada.mxTodos los derechos reservados 2023."
"gcqNLaQlcwQ","6ix9ine - Shaka Laka (feat. Kodak Black & Yailin la Mas Viral) (Official Visualizer)","2023-07-21T19:00:37Z","UCF6jRAgCbSanHolKt0Vt6Qw","Tekashi 6ix9ine","10","23.22.07","[none]","1552098","157728","0","17923","https://i.ytimg.com/vi/gcqNLaQlcwQ/default.jpg","False","False","STREAM / DOWNLOAD Shaka Laka (feat. Kodak Black & Yailin la Mas Viral): https://shakalaka.lnk.to/OEUQY4"
"918oGJFtjjw","ZAYN - Love Like This (Official Music Video)","2023-07-21T04:00:08Z","UCy5FUarBYUHFpPtYVuvzgcA","ZaynVEVO","10","23.22.07","Zayn|泽恩·马利克|제인 말릭|Zain|Zayn new music|lyric|zayn new video|zayn|zayn love like this|zayn new song|zayn malik|zayn call her daddy|zayn malik new music|zayn pop|zayn jon bellion|zayn malik 2023","2607654","352225","0","21624","https://i.ytimg.com/vi/918oGJFtjjw/default.jpg","False","False","Watch the official video for Love Like This by ZAYN.Stream/download Love Like This: https://zayn.lnk.to/lovelikethis Follow Zayn:https://instagram.com/zaynhttps://tiktok.com/@zaynhttps://facebook.com/zaynFollow inZAYN on Instagram: https://instagram.com/inzaynLYRICSOh I love it when you show, when you show, when you show that you got my backIf they ever try to roll, try to roll, try to roll on your name I blackHow you hit em with the clothes and the stare and the hips and the hair like thatGot me all up in the zone, in the zone, in the zone, in the zone likeI don’t wanna waste no timeI don’t wanna waste no time causeYou are the you are the crown andI just wanna take you time andEverything is on the line but IWould rather be deadIf its gonna mean a life thats lived without you by meI guess thats love like thisUsually I never wanna jump like thisBut I think I wanna dump my chips causeI can not go backI guess thats faith like thisGive you everything and you can skate like thisBut I think I gotta take that risk causeI can not go backAnd im loving what ya say, what ya say, what ya say, when your on my lineIf I never make it back, make it back, make it back from the chase im fineDoesn’t matter if its left or its right your direction is on my mindGot me all up in the zone, in the zone, in the zone, in the zone likeI don’t wanna waste no timeI don’t wanna waste no time causeYou are the you are the crown andI just wanna take you time andEverything is on the line but IWould rather be deadIf its gonna mean a life thats lived without you by meI guess thats love like thisUsually I never wanna jump like thisBut I think I wanna dump my chips causeI can not go backI guess thats faith like thisGive you everything and you can skate like thisBut I think I gotta take that risk causeI can not go backOne kiss I am wrapped2 4 6 my jack All I know is thatI can not go backOne kiss I am wrapped2 and I’m attachedAll I know is thatI can not go backI don’t wanna waste no time causeYou are the you are the crownEverything is on the line but IWould rather be deadIf its gonna mean a life thats lived without you babyI guess thats love like thisUsually I never wanna jump like thisBut I think I wanna dump my chips causeI can not go backI guess thats faith like thisGive you everything and you can skate like thisBut I think I gotta take that risk causeI can not go back#ZAYN #LoveLikeThis"
"6TYta-IWTzU","Me subí a TODOS los juegos (SALE MAL) | RADAR con Adrián Marcelo","2023-07-21T02:00:07Z","UCZws69iVZXGSIY4D-WulZ7g","Adrián Marcelo","24","23.22.07","RADAR|Adrián Marcelo|Multimedios|RADAR con Adrián Marcelo|Documentales|Reportajes|Exploración|Urbanismo|lugares de interés|Monterrey|Nuevo León","650277","20040","0","495","https://i.ytimg.com/vi/6TYta-IWTzU/default.jpg","False","False","Visitamos la Feria del Parque Fundidora, ubicada en el corazón de Monterrey, para pasar un rato agradable y platicar con la banda.Todo iba bien, hasta que me convencieron de subirme a un juego y me dió una pálida que nos obligó a abortar la misión. Así estuvo la cosa...Descarga TipsterChat en tu celular y sigue mi canal https://www.tipsterchat.com/AdrianMarcelo Nuevo contenido semana a semana Sígueme en redes:- Instagram https://instagram.com/adrianmarcelo10 - Instagram RADAR https://www.instagram.com/radarconadrian/ - Facebook https://www.facebook.com/AdrianMarceloPrimero/- Facebook RADAR https://www.facebook.com/radarconadrianmarcelo - Facebook de respaldo https://www.facebook.com/adrianmarcelismo - Twitter https://twitter.com/adrianm10- TikTok https://vm.tiktok.com/ZMeVyy4sW/ - Twitch https://www.twitch.tv/adrianmarcelo_ - Servidor de Discord https://discord.gg/aSRmb8rk9z"
