video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"MGodZH9yZ80","ЧУНГА ЧАНГА🤪","2023-07-27T09:00:12Z","UCHzBaTCxVW-en659mec_eOg","Ульяна Столярова","10","23.28.07","[none]","337579","15216","0","645","https://i.ytimg.com/vi/MGodZH9yZ80/default.jpg","False","False",""
"-kL7YtpluA0","Я выкинул ЛЯМ РУБЛЕЙ(((","2023-07-26T16:00:50Z","UCWnqnojAgMdN0fQpr_xByJw","MORGENSHTERN","10","23.28.07","[none]","658259","46054","0","479","https://i.ytimg.com/vi/-kL7YtpluA0/default.jpg","False","False",""
"ocueiNCZiQE","НИКТО НЕ ПРИШЕЛ НА ДЕНЬ РОЖДЕНИЯ","2023-07-26T18:35:22Z","UCkEiEd4fV3pvUmcoJYacDqA","Эдисон Перец","22","23.28.07","эдисон|едисон|edisonpts|Эдисон Перец|влог|эдисон влог","1183075","134062","0","17014","https://i.ytimg.com/vi/ocueiNCZiQE/default.jpg","False","False","Никто не пришел на день рождения Эдисона!★ Мой магазин ОДЕЖДЫ: https://edisonfamily.vsemaykishop.ru/● Мой Телеграм: https://t.me/edisonfamilia● Мой Инстаграм: https://www.instagram.com/edisonperets/● Я в ВК: http://vk.com/eduard_perets● Группа ВКонтакте: http://vk.com/edfungroup● Мой основной канал: https://www.youtube.com/user/EdisonPts▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰► Реклама и сотрудничество: peretseduard2207@hotmail.com#Эдисон #влог #деньрождения"
"0OVlM9eYtYw","Обычная ситуация в платной поликлинике 😂","2023-07-26T11:25:16Z","UCgvPE_DC9Q-ZJNAaXbppNVA","КАРЕНА МАКАРЕНА","22","23.28.07","[none]","1519752","121852","0","849","https://i.ytimg.com/vi/0OVlM9eYtYw/default.jpg","False","False",""
"-taYSfFtYkk","Lp. Тринадцать Огней #3 РАБСКАЯ ЖИЗНЬ  • Майнкрафт","2023-07-27T12:00:00Z","UCAvrIl6ltV8MdJo3mV4Nl4Q","MrLololoshka (Роман Фильченков)","20","23.28.07","Лололошка|Lololoshka|MrLololoshka|Летсплей|Сборка|Скачать|Магия|Моды|Майнкрафт|Minecraft","996618","140070","0","8895","https://i.ytimg.com/vi/-taYSfFtYkk/default.jpg","False","False","В этой серии мы либо создаЁм РАБСКИЙ ТРУД, либо занимАемся РАБСКИМ ТРУДОМ...Плейлист сезона: https://www.youtube.com/playlist?list=PLpYwltiByWUvXJN6xPCufs9P6LbrEJMEz👽 Мой Мерч: https://mirohodec.ru/ (Доставка в любую точку России и не только)Привет! Добро пожаловать на самую первую сборку и сезон с сюжетом на версии 1.19.2. Эксклюзивные, интересные моды, целых 17 новых механик (которые раскроются в течении всего сезона), продуманный сюжет, ну и конечно же, затягивающая запутанная история... Всё это в сезоне Тринадцать Огней. Нас ждут новые приключения, знакомства, загадки, Египет и многое другое. Большая просьба, не забудь ПОДПИСАТЬСЯ и ПОСТАВИТЬ ЛАЙК, это огромная мотивация для всей команды. Мы правда стараемся... Надеемся это заметно!• Магазинчик Лололошки: https://lololoshkashop.net/goods/minecraft-sajtСнимаем тут: http://streamcraft.net/launcherМой ВК: https://vk.com/mrlololoshkaТвой арт на превьюшку скидывать сюда: https://vk.com/album-39408465_287365287?rev=1Инстаграм: https://www.instagram.com/lololoshkause/"
"1E4iqCRo6Q4","Гарик Харламов пришёл в Давай поженимся 😱 #тнт #shorts #юмор #камедиклаб #камеди #харламов #жена","2023-07-26T15:54:53Z","UCmVoIfd7II6lVCTovtncaNQ","ТНТ Shorts","23","23.28.07","камеди клаб|камеди|тнт|тнт онлайн|comedy|комеди клаб|смотреть comedy club|смотреть камеди клаб|comedy club онлайн|камеди клаб ютуб|камеди клаб смотреть онлайн|камеди клаб лучшее|камеди 2023|камеди клаб 2023|камеди ютуб|камеди клаб харламов|камеди гости|камеди клаб гости|гарик харламов|камеди клаб гарик харламов|телеканал тнт|шоу тнт|юмор|гости камеди клаб|гарик харламов давай поженимся|давай поженимся|яна кошкина|харламов давай поженимся","533326","11621","0","87","https://i.ytimg.com/vi/1E4iqCRo6Q4/default.jpg","False","False","Смотри Comedy Club по пятницам в 21:00 на ТНТ.ТЕЛЕКАНАЛ ТНТ в соц. сетях:Rutube: https://rutube.ru/channel/11234072/ВКонтакте: https://vk.com/tntТелеграм: https://t.me/TNT_televisionОдноклассники: https://ok.ru/tntComedy Club в соц. сетях:  Rutube: https://rutube.ru/metainfo/tv/10/Телеграм: https://t.me/comedyclubruВКонтакте: https://vk.com/comedyclubruОдноклассники: https://ok.ru/comedyclubru"
"KC_Yf7ZEmnQ","Мои Волшебные Роды Без Анестезии от Начала Схваток до Потуг","2023-07-27T13:04:17Z","UCqmx3IZWOUyOSEBttRE0C6w","Alexandra Posnova","22","23.28.07","[none]","243822","20988","0","1211","https://i.ytimg.com/vi/KC_Yf7ZEmnQ/default.jpg","False","False","‣ Мой телеграм-канал: https://t.me/posnovaalexandra‣ Мой инстаграм: https://www.instagram.com/alexandraposnova/ ‣ Видеограф/фотограф в роды: https://instagram.com/katybutarova_newborn?igshid=MzRlODBiNWFlZA==‣ Сотрудничество: alexandra.posnova@gmail.com ‣ Влоги: https://clck.ru/JXpQ4‣ Плейлист про квартиру и переезд: https://clck.ru/33Q3uN‣ Прошлая беременность: https://clck.ru/339MGX‣ Про замершую беременность: https://clck.ru/339MTh‣ Макияжи: https://clck.ru/atujw#моироды #историямоихродов #моивторыероды #родыбезанестезии #гипнороды #роды #какрожатьбезболи #какпомочьсебевродах #партнёрскиероды #партнёрнародах #схватки #потуги #какоблегчитьсхватки #огненноекольцо #плацента #пересечениепуповины #днивроддоме #роддом #историяродов #александрапосноваProduction Music courtesy of Epidemic Sound0:00 О чём это видео0:55 Прогулка на рассвете4:37 Про ПДР6:16 Про гипнороды6:55 Проживание схваток дома8:49 Про дыхание во время схваток12:43 Едем в роддом15:23 В роддоме20:01 Про список «окситоциновых дел»27:58 Этап родов «огненное кольцо» и встреча с малышкой29:53 Отвечаю про послед и пересечение пуповины34:12 Подарок Дениса на рождение Миры35:55 Послеродовой период39:05 Была ли у меня анестезия в родах?39:48 Как не тужиться на потугах?42:50 Как нам пришла идея назвать дочку Мира?43:52 Что делала доула, что Денис во время родов?44:43 Есть ли разница между первыми и вторыми родами?47:12 Что я капала на руку на раскрытии?47:50 Какие способы обезболивания использовала во время потуг?48:42 Как я так быстро восстанавливаюсь?49:07 Больно ли сокращалась матка после родов?49:54 Как настроить себя, что роды-это не боль, а нечто замечательное?50:31 Денис отвечает на вопросы о совместных родах50:36 Не теряется ли интерес к женщине у мужчины после совместных родов?52:15 Есть ли отличия между первыми и вторыми родами?52:45 Если отец не пойдет на роды, что он потеряет?53:37 Как мужчине сохранить спокойствие во время родов жены, есть ли жалость?54:35 Что было самым сложным для Дениса в моральном и физическом плане в родах?55:54 Первые мысли и чувства после рождения Миры"
"3acuyv8RVSY","Зеленський нагородив Залужного іменною зброєю #shorts","2023-07-27T09:16:57Z","UCPY6gj8G7dqwPxg9KwHrj5Q","Суспільне Новини","25","23.28.07","Суспільне|Суспільне новини|новини|новини України|останні новини|Зеленський нагородив Залужного|нагородження Залужного|Залужний|Зеленський|Володимир Зеленський|Головнокомандувач Збройних Сил України|Валерій Залужний|Головнокоманувач ЗСУ|нагородження Залужного іменною зброєю|новини сьогодні|актуальні новини|новини 24|Зеленський новини|Залужний новини|дивитись Суспільне|Суспільне онлайн|Зеленський у Дніпрі|Дніпро|ЗСУ|головнокомандувач зсу|нагорода залужного","366746","29360","0","1237","https://i.ytimg.com/vi/3acuyv8RVSY/default.jpg","False","False","Президент Зеленський нагородив Головнокомандувача ЗСУ Залужного іменною зброєю. Напередодні, 8 липня, у Залужного був день народження.#новини #новиниУкраїни #війна #Зеленський #ЗалужнийПідписуйтесь на наш канал та тисніть дзвіночок https://www.youtube.com/c/1tvUkraine"
"S6JFQ90d56s","Оживление ГРУЗОВИКА! Сколько денег потратил Рус?","2023-07-26T18:21:23Z","UCAe4XfXD-WqP5FsGSO_h-xg","Джентльмены Синдиката","2","23.28.07","[none]","1089340","56374","0","1692","https://i.ytimg.com/vi/S6JFQ90d56s/default.jpg","False","False","Поучаствуй в реально честном конкурсе — https://l.tinkoff.ru/gentlemanjullРеклама. ООО «КЕХ еКоммерц». АО «Тинькофф Банк», лицензия ЦБ РФ № 2673. 0+Erid: Kra23bzwPПо вопросам рекламы, сотрудничества dubrovskiysyndicate@mail.ru---Основной канал: http://youtube.com/c/ЖекичДубровскийАвтосалон: http://youtube.com/c/АвтосалонСиндикатаМастерская: http://youtube.com/c/МастерскаяСиндикатаДжентльмены: http://youtube.com/c/ДжентльменыСиндикатаДевчонки: http://youtube.com/c/ДевчонкиСиндикатаВертикальный: http://youtube.com/c/ВертикальныйСиндикатаИгры: http://youtube.com/c/ИгрыСиндикатаФОРСАЖ: https://www.youtube.com/@forsazh---Музыка из видео: https://vk.com/motorheartstudio#ДубровскийСиндикат"
"MXwMo0fZcDA","Как вам трюки?","2023-07-26T10:04:38Z","UCT_vpDYH-cszDn0SdoK2HTA","МЯТНАЯ ФАНТА","24","23.28.07","[none]","2533773","187421","0","1970","https://i.ytimg.com/vi/MXwMo0fZcDA/default.jpg","False","False",""
"VtPIpYvEnsg","Как я играл в КВН","2023-07-27T09:18:32Z","UCX7j9gyhEwbRCZogvit5R5Q","МАРМАЖ","1","23.28.07","мармаж|мармяш|vfhvf;|анимация|КВН|мармаж сборник|мармажов|мармаж реакция|Как я играл в КВН|история про квн|истории из жизни|мульт|мультфильм|мемы|meme|meme animation|animation|закатун|найс|мирби|добряк|мармаж лицо|жиза|самара|Самый ТУПОЙ в классе!..|не смешно!","314762","39910","0","736","https://i.ytimg.com/vi/VtPIpYvEnsg/default.jpg","False","False","https://l.tinkoff.ru/marmazhjuly — Оформляй Тинькофф Платинум и переводи до 100 тысяч рублей бесплатно с подпиской PROАх, КВН! Я всегда мечтал играть в эту некогда удивительную игру! И однажды у меня была возможность показать себя на этом поприще, но... что-то пошло не так))МАРМАЖ: Как я играл в КВН (анимация)Ваш Мармаж ;)Мой Бусти: https://boosty.to/marmazhМОЙ ТЕЛЕГРАМ: https://t.me/maxmarmazhМой ТИК ТОК: https://www.tiktok.com/@marmazhatinaМой паблос: https://vk.com/marmazhПо вопросам рекламы: marmazh@topbro.ru#анимация  #КВН #мармажРеклама. АО «Тинькофф Банк», универсальная лицензия ЦБ РФ № 2673. erid: LjN8Jzi8Z"
"4dDWIzyI4A0","This scene is unreal","2023-07-26T12:24:29Z","UCrAfNeSQK8O6XqG5Qw1eMug","JC Pieri","24","23.28.07","[none]","2946026","136215","0","1985","https://i.ytimg.com/vi/4dDWIzyI4A0/default.jpg","False","False","This scene is unreal 😱🙉L'association @papaye.international œuvre pour la sauvegarde, la protection et la réhabilitation de chimpanzés orphelins, victimes du braconnage, du trafic, saisis et confiés au sanctuaire par les autorités camerounaises avec lesquelles l'association travaille en partenariat depuis des années.Une part de l'humanité, celle qui braconne, trafique et tue, les a privés de leur famille, de leur liberté et une autre part de cette même humanité, celle qui aime, qui sauve et protège, leur assure aujourd'hui de pouvoir se reconstruire au sein de ce sanctuaire.L'interaction avec l'humain est uniquement générée par leur sauvetage, leur apprentissage jusqu'à leur remise en liberté en site sécurisé dans le parc naturel de Douala / Edéa, où ils retrouvent très facilement et très rapidement leurs instincts d'indépendance avec une hiérarchie établie, une territorialité affirmée.Il est donc très important de souligner que cet animal, intelligent, sensible, est et reste un animal sauvage. Ce n'est pas un jouet, une peluche, un animal de compagnie et même si les photos, les vidéos montrent un être en recherche de jeux, de câlins, d'échanges, il ne faut pas oublier que les bonnes âmes humaines participent à leur reconstruction, à leur redonner confiance en la vie et en l'avenir après qu'ils aient subi le pire, l'horreur, tous étant arrivés sur site traumatisés, malades ou blessés.Leur prise en charge sur le sanctuaire est une parenthèse obligatoire à leur survie. Papaye International est un des seuls sanctuaires au monde qui propose le paradis aux chimpanzés, avec un vrai retour à la nature sans enclos ni grillage.NB : Notre séjour a été précédé de l'application d'un lourd protocole sanitaire (vaccins, tests, quarantaine) pour nous permettre de filmer au plus près uniquement les jeunes chimpanzés encore en charge permanente sur le sanctuaire, ceux réhabilités dans le parc naturel n'ayant plus que le contact avec leurs soigneurs en cas d'absolue nécessité.#LeMondeCacheDesChimpanzes #PapayeInternational #chimpanze #cameroun #chimpanzee #animalover#LeMondeCacheDesChimpanzes #PapayeInternational #chimpanze #cameroun #chimpanzee"
"QtJsoJAg1S4","Литвин - на  MERCEDES GT в Дубае","2023-07-26T14:45:55Z","UCegbn_C_Eb-iKxN065xVlHg","ЧЁ КАВО","23","23.28.07","[none]","573493","38569","0","99","https://i.ytimg.com/vi/QtJsoJAg1S4/default.jpg","False","False",""
"n84XvKJjvWc","Munisa Rizayeva - Zolim (Official Music Video)","2023-07-27T06:47:12Z","UCpfo8B-TUnFQ-T3Z7Pmm2_Q","Munisa Rizayeva","10","23.28.07","Munisa Rizayeva|Munisa Rizaeva|Munisa|Rizaeva|Rizayeva|Munis|Муниса Ризаева|Ризайева","292493","5095","0","319","https://i.ytimg.com/vi/n84XvKJjvWc/default.jpg","False","False","Obuna bo'ling: http://bit.ly/MunisaRizayevaInstagram: http://bit.ly/MunisaRizayevaInstagramОфициальный сайт: http://www.rizanova.uz/ Подпишись на новые клипы http://bit.ly/RizaNovaUZRizaNova @ Google+ http://google.com/+RizaNovaUZRizaNova @ Instagram http://instagram.com/RizaNovaUZRizaNova @ Telegram https://telegram.me/RizaNovaUZRizaNova @ Facebook http://facebook.com/groups/RizaNovaUZRizaNova @ Twitter https://twitter.com/RizaNovaUZRizaNova @ ВКонтакте https://vk.com/RizaNovaUZRizaNova @ Одноклассники http://ok.ru/RizaNovaUZ"
