video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"bSkOF-mEbUU","CAPTAIN MILLER -Teaser | Dhanush | Shivarajkumar, Sundeep Kishan, Priyanka Mohan | Arun Matheswaran","2023-07-27T18:31:03Z","UCdbalkQDqCcOsYG5c4L8TAw","Sathya Jyothi Films","1","23.29.07","dhanush|dhanush next movie|dhanush new movie|Captain Miller|captain miller dhanush|sathya jyothi films|dhanush sathya jyothi films|dhanush movies|Arun Matheswaran|gv praksh kumar|gv prakash music director|captain miller Teaser|dhanush captain miller teaser|captain miller Official Teaser|arun matheswaran director|arun matheswaran captain miller|captain miller trailer|Priyanka Mohan|Captain miller dhanush movie teaser|Shivarajkumar Captain miller","20340852","468529","0","12953","https://i.ytimg.com/vi/bSkOF-mEbUU/default.jpg","False","False","Presenting the Official Teaser of #CaptainMiller . Written & Directed by : Arun MatheswaranProduced by : Sendhil Thyagarajan & Arjun ThyagarajanMusic : GV PrakashDOP : Siddhartha NuniDialogues : Madhan KarkyEditor : Nagooran Art Director : T. Ramalingam Costume Designing : Poornima Ramasamy & Kavya SriraamStunts :  Dhilip Subbarayan Publicity Designer : Tuney John ( 24AM )Lyrics : Vivek , Arunraja Kamaraj , Umadevi , Kaber Vasuki VFX Supervisor: Monesh HChoreography: Baskar Sound design: Sync Cinema Sound Mixing : MR Rajakrishnan PRO : Riaz K Ahmed , Team AIM , Vamsi SekharFollow us on Facebook - https://www.facebook.com/SathyaJyothiFilms/Twitter - https://www.twitter.com/SathyaJyothi_ Instagram - https://www.instagram.com/sathyajyothifilms/In Association with Divohttps://www.facebook.com/divomovies/https://www.twitter.com/divomovies/https://www.instagram.com/divomovies/#CaptainMiller #Dhanush #Shivarajkumar #SundeepKishan #PriyankaMohan #GVPrakash #ArunMatheswaran  #sathyaJyothiFilms"
"mljj92tRwlk","#Gadar2 Official Trailer | 11th August | Sunny Deol | Ameesha Patel | Anil Sharma | Zee Studios","2023-07-26T14:00:13Z","UC3jMepkLKF8y4iiwWmAB3RA","Zee Studios","1","23.29.07","Zee Studios|Bollywood Cinema|Hindi Cinema|Bollywood movie|Latest bollywood movie|Gadar 2 upcoming bollywood movie|Trailer|zee|entertainment|popular|famous|superhit|Blockbuster movie|Sunny Deol|Ameesha Patel|Sunny Deol Movie Gadar 2|Gadar 2 Teaser|Gadar 2 Trailer|Sunny Deol Action|Hindustan Zindadabad|Sakeena|Tara Singh|Utkarsh Sharma|Anil Sharma|Latest 2023 Trailer","53452681","979608","0","81449","https://i.ytimg.com/vi/mljj92tRwlk/default.jpg","False","False","Apne parivaar aur desh ke liye, ek baar phir se Gadar machayega Tara Singh! 💥💪🏻On the occasion of #KargilVijayDiwas, presenting you all with #Gadar2Trailer 🔥#Gadar2 aa rahi hai bade parde par 🔥 lagane iss Independence Day! 🇮🇳 Cinemas mein 11th August se 🎞️#SunnyDeol #AmeeshaPatel #AnilSharma #ZeeStudios Get 1+1 on Movie Tickets - https://m.paytm.me/dl_gadar2Zee Studios PresentsDirected by - Anil SharmaProduced by - Zee StudiosProduced by - Anil Sharma Productions, MM Moviez Co-Producer - Suman SharmaStarring -Sunny DeolAmeesha Patel Utkarsh SharmaManish WadhwaGaurav ChopraLuv SinhaIntroducing - Simrat KaurWritten by - Shaktimaan TalwarCinematographer - Najeeb KhanMusic - MithoonLyricist - Sayeed QuadriChoreography - Shabina KhanProduction Desginer - Muneesh SappelCostumes Stylists - Nidhi Yasha, Gagan Oberoi (Sunny Deol)Action Directors - Ravi Verma, Tinu Verma, Shyam Kaushal & Abbas Ali MoghulBackground Music - Monty SharmaEditor - Ashfaq Makrani & Sanjay SankhlaSound Designer - Jitendra Chaudhry Mixing - Anup DevExecutive Producer - Rana BhatiaSound Designer (SFX) - Kingshuk MoranSecond Unit Cameraman - Azeez SiddiquiAssociate Directors - Hidayat Khan & Hanish LambaVFX - Pixelld Studios, Prisca Di - Prime Focus Colorist - Ashirwaad Visual Promotions - MA+TH (Marching Ants+ Trigger Happy) •Member of Hakuhodo International•Poster Design - Rahul Nanda Stay Updated On:https://www.facebook.com/ZeeStudios​https://twitter.com/ZeeStudios_​https://www.instagram.com/zeestudiosofficial/https://www.youtube.com/ZeeStudiosofficial"
"W3EC1fx1Yqg","Bholaa Shankar Trailer | MegaStar Chiranjeevi,Keerthy Suresh Tamannaah | Meher Ramesh | Anil Sunkara","2023-07-27T10:35:33Z","UCu1cFPQalIQlHHDSxn_PI0w","AK Entertainments","1","23.29.07","Bholaa Shankar Trailer|Bholaa Shankar Teaser|megastar chiranjeevi|chiranjeevi|chiranjeevi bhola shankar|bhola shankar teaser|bhola shankar trailer|bhola shankar|ak entertainments|meher ramesh|bholaa","14332428","274896","0","8542","https://i.ytimg.com/vi/W3EC1fx1Yqg/default.jpg","False","False","Watch Bholaa Shankar Trailer#BholaaShankar Starring Chiranjeevi, Tamannaah, Keerthy Suresh, Sushanth, Raghu Babu, Murali Sharma, Ravi Shankar, Vennela Kishore, Tulasi, Sri Mukhi, Bithiri Sathi, Satya, Getup Srinu, Rashmi Gautam, Uttej, etc.Movie :- BholaaShankarDirector: Meher RameshProducer: Ramabrahmam SunkaraBanner: AK EntertainmentsCo Producer's - Anil Sunkara, Ajay SunkaraEx-Producer: Kishore GarikipatiMusic: Mahati Swara SagarDOP: DudleyEditor: Marthand K VenkateshProduction Designer: AS PrakashFight Masters: Ram-LaxmanChoreography: Sekhar MasterDialogues: Mamidala ThirupathiLyrics: Ramajogayya Sastry, Kasarla Shyam,Meher RameshVFX supervisor - Yugandhar TDigital Marketing - Viswa CMPRO - Vamsi ShekarAP BOOK:  Most Trusted Telugu Betbook Online Gaming Platform Cricket,Football,Tennis,Casino,Ludo  Register now AP BOOKhttps://apbook.in/  Contact : 7038888888Follow Us on Social Media:-Facebook - https://www.facebook.com/AKentsOfficial/Twitter - https://twitter.com/akentsofficialInstagram - https://instagram.com/akentsofficial/"
"mwcDrM7yXu4","Udaariyaan Promo - Aaliya Aur Nehmat Ko Saath Dekh Harleen Ko Hui Jalan - Colors","2023-07-28T13:48:47Z","UC3YaDnARRUu8wp_wPx7a1bA","Telly MEK","24","23.29.07","Udaariyaan 29 July Promo|Udaariyaan march|Udaariyaan today episode|Udaariyaan|punjab|sandhu family|jasmine|उड़ारियां|sandhu|migrate|udaariyaan full episode today|udaariyaan full today episode|udaariyaan serial full episode today|udaariyaan today|udaariyaan today episode|udaariyaan episode today|udaariyan today episode|udaariyaan full episode|udaariyaan latest episode|udaariyaan new episode|udaariyaan aaj ka episode|udaariyaan 29 july|Vivian Dsena|sartaaj","264089","4095","0","77","https://i.ytimg.com/vi/mwcDrM7yXu4/default.jpg","False","False","Udaariyaan Promo - Jamine Ne Harleen Ko Bhadkaya Nehmat Ke Khilaaf, Harleen Bani Maa Ki TarahTelly MEK is your one stop destination for all the insights into the Television and OTT Industry. We brings you all the daily updates on the Indian Television Shows like The Kapil Sharma Show, Sharktank India ,Dharampatni , Udaariyaan, Masterchef India and many more..Subscribe to our channel or MISS the latest Update!For Business Inquiry Get In Touchcontent@goquestmedia.comFOLLOW US ON SOCIALhttps://www.instagram.com/telllyalert/"
"UfrT9zkwqDU","Ticket Eh Konakunda Lyrical Song | Tillu Square | Siddu, Anupama | Mallik Ram | Ram Miriyala","2023-07-26T10:35:02Z","UCNApqoVYJbYSrni4YsbXzyQ","Aditya Music India","10","23.29.07","Ticket Eh Konakunda Lyrical Song|Siddhu Jonnalagadda|Anupama Parameswaran|Mallik Ram|S Naga Vamsi|Tillu Square Movie|Tillu Square 1st Single|Tillu Square Telugu Movie|Tillu Square Teaser|DJ Tillu 2 First Look|Star Boy Siddu|DJ Tillu 2|Siddu's Tillu Square|Siddu in DJ Tillu 2|Ram Miryala Music|Ram Miryala Songs|Siddhu Jonnalagadda Latest Movie|Anupama Parameswaran Telugu Moives|Kalsarla Shyam|Tillu Square Song Promo|Tillu Anna Dj Pedithe|Dj Tillu Songs","5211897","241484","0","3475","https://i.ytimg.com/vi/UfrT9zkwqDU/default.jpg","False","False","#AdityaMusic Presents Ticket Eh Konakunda Lyrical Song  From The Movie #Tillusquare #TilluSquare is our upcoming Telugu feature film Strarring Siddu Jonnalagadda, Anupama Parameswaran in lead roles. Directed by Mallik Ram. Music composed by Ram Miriyala & Sri Charan Pakala. Editing by Navin Nooli. Cinematography by Sai Prakash. Produced by Suryadevara Naga Vamsi Under Sithara Entertainments & Fortune Four Cinemas. Presented by Srikara StudiosSong Name: Ticket Eh KonakundaSinger:  Ram MiriyalaLyrics: Kasarla ShyamMusic: Ram MiriyalaArranged & Programmed by Ram Miriyala, Shashank Alamuru & Arun ChiluveruAcoustic Guitars by Arun ChiluveruKeyboards by Shashank Alamuru & Arun Chiluveru Rhythm Programmed by Ram MiriyalaAdditional Vocals: Akash RavuruMixing & Mastering By Vinay KumarMovie Name: Tillu SquareDirector : Mallik Ram DOP: Sai Prakash UmmadisinguEditor : Navin Nooli Music Director: Ram Miryala, Sri Charan Pakala  Art: A.S. PrakashProducer: Suryadevara Naga VamsiBanner: Sithara Entertainments, Fortune Four CinemasPresenter: Srikara StudiosAudio: Aditya Music #TicketEhKonakundaSong #SiddhuJonnalagadda  #AnupamaParameswaran  #RamMiriyala #KasrlaShyam #DjTillu2------------------------------------------------------------------------------------------Enjoy and stay connected with us!!►Subscribe us on Youtube: http://bit.ly/adityamusic►Like us on Facebook: http://www.facebook.com/adityamusic►Follow us on Twitter: http://www.twitter.com/adityamusic►Follow us on Instagram: https://www.instagram.com/adityamusicindia►Follow us on LinkedIn: http://bit.ly/2Pp6ze3SUBSCRIBE Aditya Music Channels for unlimited entertainment:►For South Indian Dubbed Movies in HD: http://www.youtube.com/Adityamovies►For Songs with Telugu Lyrics: https://bit.ly/3cpQuFH►For Devotional Songs: http://www.youtube.com/AdityaDevotional→మా పాట మీ నోట Telugu Lyrical Songs https://www.youtube.com/@mapaatameenota→Latest Tollywood Lyric Video Songs - http://bit.ly/1Km97mg→Ever Green Classics - https://goo.gl/1fZEDy→Popular Jukeboxes - https://goo.gl/LNvAIo→Telugu Songs with Lyrics - https://goo.gl/7ZmgWT© 2023 Aditya Music India Pvt. Ltd."
"L2AFfVPwikY","Abhijeet Ki Shadi Ep. 624 | FUNwithPRASAD | #funwithprasad","2023-07-27T09:27:23Z","UCKKsaW4uKAV7yhywGaoj6eg","FUNwithPRASAD","23","23.29.07","funwithprasad|funwithprasad new video|fun with prasad comedy|fun with prasad|fun with prasad new video|funwithprasad comedy","956293","64771","0","15289","https://i.ytimg.com/vi/L2AFfVPwikY/default.jpg","False","False","CREDITSAll Characters Played By - PrasadMusic By - https://youtube.com/channel/UCRRaev1HM8OTkIiKBGo1w5Ahttps://mobcup.net/ved prajapativasanth isaipettaiAll Songs Credit Gose To Official Song OwnersVideo Editing By - PrasadHope So You Like ThisSmile On Face This Is Only Reason Behind ThisThank You So Much For Watching"
"R8jBM6a8Yxs","7 UNTOLD Secrets Of Minecraft | Minecraft Hindi","2023-07-28T08:00:18Z","UC3iZua_igo3KkTYPtpGRDtg","MineFlux","20","23.29.07","minecraft|minecraft hindi|minecraft facts|minecraft myths|minecraft 1.20|minecraft mystery in hindi|minecraft mystery|7 Untold secrets of minecraft|minecraft scary myths|minecraft scary seeds|minecraft seeds|techno gamerz|minecraft horror|techno gamerz minecraft|yes smarty pie","303468","16808","0","410","https://i.ytimg.com/vi/R8jBM6a8Yxs/default.jpg","False","False","Today in this video i am going to tell you the top 7 mysteries of minecraft Follow me onInstagram- https://instagram.com/minefluxyt?Discord- https://discord.gg/mineflux...Music and Stock footages - StoryBlocks ..Thumbnail is inspired from EYstreem"
"buy_IduAlTA","I HAVE GIVEN UP","2023-07-28T13:27:48Z","UC0IWRLai-BAwci_e9MylNGw","CarryisLive","24","23.29.07","CarryMinati|Carryminati gaming|carrisLive|Gaming|Livestream|Indian gamingpubgpubg mobile","597668","76282","0","1967","https://i.ytimg.com/vi/buy_IduAlTA/default.jpg","False","False","The PRESTIGE MEMBER OF THE HOMO-BAKCHODIAN SOCIETY:GO TO▶️https://www.youtube.com/channel/UC0IWRLai-BAwci_e9MylNGw/join For Business related queries: workforcarry@gmail.comCarryMinati Channel► https://www.youtube.com/user/AddictedA1Instagram► https://www.instagram.com/carryminati/Facebook ► https://www.facebook.com/CarryDeol/Snapchat► heyAjeyTwitter ► https://twitter.com/CarryMinatiDiscord▶ https://discord.gg/CarryislivePC SpecsProcessor: AMD Ryzen 9 5900X (12Core, 24 Threads, Upto 4.8 Ghz)Motherboard: ASUS CROSSHAIR-VIII-FormulaRAM: 32 GB G.Skill Trident Z Neo RGB DDR4 4000MHz Graphic Card: MSI GeForce RTX 3090 Suprim 24 GBSSD: 1TB Samsung 980 PRO GEN4 NVMe m.2 SSDPower Supply: Antec HCG1000W 80+CPU Cooler: Lian Li Galahad 360 BlackCabinet – Lian LI O11 Dynamic Razer EditionAbout CarryMinati: Youthoob certified memberThat's all Folks!"
"xelrmlSG_2c","NEW! Barsatein - Mausam Pyar Ka - Ep 14 | 27 July 2023 | Teaser","2023-07-27T15:00:43Z","UCpEhnqL0y41EpW2TvWAHD7Q","SET India","24","23.29.07","Shivangi Joshi|Barsatein serial|hindi tv show|बरसातें|Barsatein story|new story|set india|hindi tv serials|Barsatein new|barsatein|barsatein serial|barsatein shivangi joshi|barsatein serial new|barsaatein new show online|barsaatein|barsatein new|barsaatein story|barsatein star cast|barsatein new show|ekta kapoor barsatein|sony tv show barsaatein|barsatein mausam pyaar ka ep 14|teaser|barsatein teaser|Barsatein kushal tandon|barsatein today episode","1839550","32195","0","1018","https://i.ytimg.com/vi/xelrmlSG_2c/default.jpg","False","False","Click here to Subscribe to SET India: https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q?sub_confirmation=1Episode 14:  Reyansh का प्यार-----------------------------------------------------------------As Reyansh is all shattered seeing the relationship between his parents in the family, so he gets drunk and then Aradhana turns up and takes care of him. She takes him to the office and takes good care of him, they both spend the night together. Now, Stay Tuned to know how will Reyansh express his deep hidden feelings to Aradhana and what will be her ultimate reaction to it.Show Name: Barsatein - Mausam Pyaar KaCast: Shivangi Joshi, Kushal TandonEpisode: 14Director: Atif KhanProducer: Ekta Kapoor#barsateinmausampyaarka #setindia #बरसातेंमौसमप्यारका #kushaltandon #shivangijoshi About Barsatein - Mausam Pyaar Kaa:------------------------------------------------------------A sensible and ambitious journalist joins a media company run by a suave maverick man. While united in their passion for honest and ground-breaking journalism, their contrasting characters immediately puts them at loggerheads. What will happen when she starts falling in love with him despite the red flags? 'Barsatein - Mausam Pyaar Ka' stars Shivangi Joshi and Kushal Tandon in lead roles.Click here to watch the full episode of Barsatein - Mausam Pyaar Ka:https://www.sonyliv.com/dplnk?schema=sony://asset/1000229285NEW! Barsatein - Mausam Pyar Ka - Ep 14 | 27 July 2023 | Teaser"
"NZ0kk9tW5rg","Why are Dipika Kakar and Falaq Naaz no longer friends?","2023-07-28T12:36:31Z","UCjS8OCmHuWdl5aWDUuU0M4g","Siddharth Kannan","24","23.29.07","siddharth kannan|sid kanan|rj sid kanan|rj sidk|siddharth latest video|Siddharth Kannan|Kannan|Siddharth|siddarth kanan latest video|manisha rani|avinash sachdev|fukra insaan|triggered insaan|dipika kakar baby|dipika ki duniya|jiya shankar|abhishek malhan|nischay malhan|elvish yadav|falaq naaz interview|falaq naaz serial|shoaib ibrahim|falaq naaz and avinash|sidnaaz|shehnaaz gill|avinaaz","358379","9585","0","877","https://i.ytimg.com/vi/NZ0kk9tW5rg/default.jpg","False","False","In the second part of my interview with Falaq Naaz, she speaks about how her boyfriend broke up with her because he was a Hindu.She also says what went wrong between her and Dipika Kakar. She also says what hurt her the most in her friendship with Dipika.She also opens up on why she refused Elvish Yadav an extra paratha and also why she thinks Manisha Rani is playing a cunning game.She also opens up on the friendship between Manisha and Abhishek Malhan and whether she has seen the viral video on her by Nischay Malhan.Venue: Mad Studios, Andheri West, Mumbai#falaqnaaz #biggbossottseason2 #dipikakakar Click here to Subscribe :- https://bit.ly/SiddharthKannanFollow Me On - Facebook - https://www.facebook.com/sidk313Instagram - https://www.instagram.com/sid_kannanTwitter - https://twitter.com/sidkannan"
